Sub_Category_Name,Link,Main_Category
Duo Two-Factor Authentication,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22244,Accounts & Passwords
Changing Your Carleton Password,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22660,Accounts & Passwords
Email & Calendaring,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22139,Communication & Collaboration
Google Drive,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23676&SIDs=11637,Communication & Collaboration
Phones,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22138,Communication & Collaboration
Speakerphones,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22472,Communication & Collaboration
Wireless Presentation Technology,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22842&SIDs=10929,Communication & Collaboration
Zoom Conferencing,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22284,Communication & Collaboration
Google Drive,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23676,Digital Storage
Dropbox,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23680,Digital Storage
Imagen,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23677,Digital Storage
Panopto,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23678,Digital Storage
Campus Software,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22120,Hardware & Software
Computer Labs,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22140,Hardware & Software
Operating Systems,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22206,Hardware & Software
Faculty & Staff Computers,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22309,Hardware & Software
Printing Smarter,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22649,Printing
Lights and Motorized Shades,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23913,"Technology for Teaching, Learning and Research"
Moodle,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22131,"Technology for Teaching, Learning and Research"
Classroom Support,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22263,"Technology for Teaching, Learning and Research"
Language Lesson,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22645,"Technology for Teaching, Learning and Research"
"CarlSites - WordPress, Omeka and Scalar",https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22736,"Technology for Teaching, Learning and Research"
FlexWork Technology,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22203,You and Carleton Technology
New Students,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22208,You and Carleton Technology
New Faculty,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22210,You and Carleton Technology
Digital Departures,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22209,You and Carleton Technology
Adobe Creative Cloud,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22167,Campus Software
Microsoft Office,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22168,Campus Software
Zoom Conferencing,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22284&SIDs=10338,Campus Software
macOS,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22307,Operating Systems
Windows,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22308,Operating Systems
For Instructors,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=24008,Moodle
For Students,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23493,Moodle
Wireless Presentation Technology,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=22842,Classroom Support
Troubleshooting FAQ  for Teaching Stations,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23910,Classroom Support
Carlsites: Start Here,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=24055,"CarlSites - WordPress, Omeka and Scalar"
cPanel,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=24105,"CarlSites - WordPress, Omeka and Scalar"
Omeka,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=24068,"CarlSites - WordPress, Omeka and Scalar"
WordPress,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=24069,"CarlSites - WordPress, Omeka and Scalar"
Scalar,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=24070,"CarlSites - WordPress, Omeka and Scalar"
Moodle Basics,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23449,For Instructors
Course Layout,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23436,For Instructors
All about Grading,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23434,For Instructors
Quizzing,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23435,For Instructors
Enrollments,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23433,For Instructors
Group Activities,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23451,For Instructors
Course Reuse,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23452,For Instructors
Completion Tracking & Access Restriction,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23450,For Instructors
Ally for Moodle,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=23634,For Instructors
External Tools,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=25351,For Instructors
iPad + Moodle,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=25407,For Instructors
Student TAs,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/?CategoryID=24009,For Students
